Wind Velocity,6 kt,8 kt,10 kt,12 kt,14 kt,16 kt,20 kt
Beat Angles,42.8,41.4,39.2,38.3,38.3,38.3,39
Beat VMG,3.24,3.93,4.4,4.55,4.59,4.63,4.62
52,4.96,5.85,6.25,6.39,6.45,6.47,6.56
60,5.26,6.05,6.4,6.59,6.68,6.73,6.87
75,5.48,6.19,6.55,6.87,7.11,7.24,7.35
90,5.6,6.34,6.59,6.96,7.36,7.7,8.06
110,5.73,6.51,7.03,7.4,7.7,8.05,8.69
120,5.6,6.45,7.04,7.65,8.13,8.55,9.4
135,5.02,6.11,6.71,7.32,8.04,8.93,10.94
150,4.26,5.33,6.14,6.63,7.06,7.7,9.93
Run VMG,3.69,4.62,5.32,5.74,6.19,6.67,8.6
Gybe Angles,145,148,150,150.5,176,144,141
